Verein_nr;Spieler Name;player_nr;Datum;old_club_name;old_club_nr;old_club_country;new_club_name;new_club_nr;new_club_country;MW;Ablöse
;;608172;01.07.2024;fc luzern;434;Switzerland;fc brugge;2282;Belgium;6,00 Mio €;6,00 Mio €
;;608172;27.01.2022;fc luzern u21;5494;Switzerland;fc luzern;434;Switzerland;100 Tsd €;-
;;608172;01.07.2020;team fc luzern sc kriens u18;14332;Switzerland;fc luzern u21;5494;Switzerland;-;-
;;608172;01.07.2018;fc luzern jugend;42249;Switzerland;team fc luzern sc kriens u18;14332;Switzerland;-;-
;;608172;15.07.2013;zug 94 jugend;26733;Switzerland;fc luzern jugend;42249;Switzerland;-;ablösefrei
;;382774;06.07.2022;neuchatel xamax fcs;625;Switzerland;fc luzern;434;Switzerland;350 Tsd €;?
;;382774;01.07.2021;ac florenz u19;8505;Italy;neuchatel xamax fcs;625;Switzerland;200 Tsd €;?
;;382774;30.06.2021;neuchatel xamax fcs;625;Switzerland;ac florenz u19;8505;Italy;200 Tsd €;Leih Ende
;;382774;15.02.2021;ac florenz u19;8505;Italy;neuchatel xamax fcs;625;Switzerland;200 Tsd €;Leihe
;;382774;09.01.2020;kaa gent;157;Belgium;ac florenz u19;8505;Italy;400 Tsd €;Leih Ende
;;382774;21.08.2019;ac florenz u19;8505;Italy;kaa gent;157;Belgium;400 Tsd €;Leihe
;;382774;01.07.2018;fc sion u21;8508;Switzerland;ac florenz u19;8505;Italy;150 Tsd €;180 Tsd €
;;382774;01.01.2017;fc sion u18;14211;Switzerland;fc sion u21;8508;Switzerland;-;-
;;382774;01.07.2016;fc sion jugend;42250;Switzerland;fc sion u18;14211;Switzerland;-;-
